web-scraper-order,web-scraper-start-url,athlete,athlete-href,opponent1,winLoss,method,competition,weight,stage,year,name,opponent2
"1592275965-6041","https://www.bjjheroes.com/a-z-bjj-fighters-list","Max","https://www.bjjheroes.com/?p=6805","Roberto Abreu","L","Choke from back","Miami Fall Open","ABS","F","2017","Max Gimenis","Roberto Abreu"
"1592276126-6522","https://www.bjjheroes.com/a-z-bjj-fighters-list","Gordon","https://www.bjjheroes.com/?p=6550","Marcello Salazar","W","Kneebar","EBI 6","ABS","4F","2016","Gordon Ryan","null"
"1592276126-6540","https://www.bjjheroes.com/a-z-bjj-fighters-list","Gordon","https://www.bjjheroes.com/?p=6550","Marcel Goncalves","W","Short choke","EBI 11","77KG","SF","2017","Gordon Ryan","Marcel Goncalves"
"1592276245-6911","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jonathan","https://www.bjjheroes.com/?p=6354","Otavio Sousa","L","Pts: 10x0","World Champ.","82KG","8F","2016","Jonathan Satava","Otavio Sousa"
"1592275649-5532","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ilke","https://www.bjjheroes.com/?p=7376","Philippe Pomaski","L","Points","Geneva Open","ABS","SF","2018","Ilke Bulut","Philippe Pomaski"
"1592276018-6218","https://www.bjjheroes.com/a-z-bjj-fighters-list","Rodrigo","https://www.bjjheroes.com/?p=6756","","","","","","","","Rodrigo Feijão",""
"1592276265-7097","https://www.bjjheroes.com/a-z-bjj-fighters-list","Kevin","https://www.bjjheroes.com/?p=6368","Gabriel Mees","W","Outside heel hook","Sub Stars","77KG","F","2019","Kevin Mahecha","Outside heel hook"
"1592275973-6127","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jose Carlos","https://www.bjjheroes.com/?p=6801","Paulo Pizziali","W","Armbar","Rio Open","57KG","SF","2018","José Carlos Lima","Armbar"
"1592275919-5909","https://www.bjjheroes.com/a-z-bjj-fighters-list","Daniel","https://www.bjjheroes.com/?p=6829","","","","","","","","Danny Alvarez",""
"1592276139-6617","https://www.bjjheroes.com/a-z-bjj-fighters-list","Marcel","https://www.bjjheroes.com/?p=6503","Rodrigo Carvalho","W","N/A","Pan American","ABS","R1","2010","Marcel Fortuna","null"
"1592275605-5397","https://www.bjjheroes.com/a-z-bjj-fighters-list","Vinicius","https://www.bjjheroes.com/?p=7636","Gustavo Soares","W","Points","Atlanta Summer O.","88KG","SF","2018","Vinicius Garcia","null"
"1592276265-7053","https://www.bjjheroes.com/a-z-bjj-fighters-list","Kevin","https://www.bjjheroes.com/?p=6368","Gilson Nunes","L","Pts: 4x2","Atlanta Spring O.","76KG","F","2017","Kevin Mahecha","Gilson Nunes"
"1592275947-5920","https://www.bjjheroes.com/a-z-bjj-fighters-list","Fernando Andrade","https://www.bjjheroes.com/?p=6825","John Rickel","W","Choke","Charlotte Open","O100KG","F","2016","Fernando Reis","null"
"1592275984-6205","https://www.bjjheroes.com/a-z-bjj-fighters-list","Cassio","https://www.bjjheroes.com/?p=6792","Jonathan Satava","L","Referee Decision","NoGi Pan Ams","ABS","SF","2016","Cassio Francis","Jonathan Satava"
"1592276265-7063","https://www.bjjheroes.com/a-z-bjj-fighters-list","Kevin","https://www.bjjheroes.com/?p=6368","Unknown","W","Pts: 2x0","Miami Fall Open","ABS","R1","2017","Kevin Mahecha","null"
"1592276126-6528","https://www.bjjheroes.com/a-z-bjj-fighters-list","Gordon","https://www.bjjheroes.com/?p=6550","Josh Hayden","W","EBI/OT","EBI 8","84KG","SF","2016","Gordon Ryan","null"
"1592276293-7196","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ruan","https://www.bjjheroes.com/?p=6375","Unknown","W","Bow and arrow","Rio Winter Open","ABS","R1","2016","Ruan de Oliveira","Bow and arrow"
"1592276281-7133","https://www.bjjheroes.com/a-z-bjj-fighters-list","Brian","https://www.bjjheroes.com/?p=6366","Thiago Lemos","W","Pts: 2x0","Grand Slam LA","69KG","R1","2017","Brian Mahecha","null"
"1592276298-7255","https://www.bjjheroes.com/a-z-bjj-fighters-list","Chris","https://www.bjjheroes.com/?p=6395","G. Karakhanyon","W","N/A","UFC Expo","65KG","SF","2009","Chris Holdsworth","null"
"1592275874-5873","https://www.bjjheroes.com/a-z-bjj-fighters-list","Shane","https://www.bjjheroes.com/?p=7002","Felipe Simplicio","W","Toe hook","BJJ NY Pro","70KG","SF","2017","Jamil Hill-Taylor","null"
"1592276293-7234","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ruan","https://www.bjjheroes.com/?p=6375","Matheus Spirandeli","L","Pts: 6x0","Grand Slam RJ","85KG","R2","2018","Ruan de Oliveira","Matheus Spirandeli"
"1592276245-6913","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jonathan","https://www.bjjheroes.com/?p=6354","Marcel Goncalves","W","Points","NY NoGi Open","ABS","4F","2016","Jonathan Satava","Marcel Goncalves"
"1592275711-5652","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jan","https://www.bjjheroes.com/?p=7256","Athos Miranda","W","Bow and arrow","Miami Spring Open","82KG","F","2018","Jan Buatim","Bow and arrow"
"1592275965-6078","https://www.bjjheroes.com/a-z-bjj-fighters-list","Max","https://www.bjjheroes.com/?p=6805","Rudson Mateus","L","Pts: 0x0, Adv","Pan American","ABS","R2","2019","Max Gimenis","Rudson Mateus"
"1592276126-6512","https://www.bjjheroes.com/a-z-bjj-fighters-list","Gordon","https://www.bjjheroes.com/?p=6550","Ian Murray","W","Inside heel hook","Sapateiro Inv.","ABS","R1","2016","Gordon Ryan","Inside heel hook"
"1592275700-5613","https://www.bjjheroes.com/a-z-bjj-fighters-list","Enrico","https://www.bjjheroes.com/?p=7247","Mike Padilla","W","Toe hold","F2W 128","77KG","SPF","2019","Enrico Cocco","Toe hold"
"1592276062-6227","https://www.bjjheroes.com/a-z-bjj-fighters-list","Miguel Angel","https://www.bjjheroes.com/?p=6674","Dimitrius Souza","W","Referee Decision","Brasileiro","94KG","SF","2016","Miguel Ángel Alderete","Dimitrius Souza"
"1592276107-6421","https://www.bjjheroes.com/a-z-bjj-fighters-list","Francisco","https://www.bjjheroes.com/?p=6563","Sergio Ardila","W","Pts: 0x0, Adv","NoGi Worlds","79KG","R1","2016","Francisco Iturralde","Sergio Ardila"
"1592276126-6562","https://www.bjjheroes.com/a-z-bjj-fighters-list","Gordon","https://www.bjjheroes.com/?p=6550","Vinny Magalhaes","L","Points","ACBJJ 13","O95KG","SPF","2018","Gordon Ryan","Vinny Magalhaes"
"1592276139-6607","https://www.bjjheroes.com/a-z-bjj-fighters-list","Marcel","https://www.bjjheroes.com/?p=6503","Braga Neto","L","Kimura","World Champ.","100KG","SF","2008","Marcel Fortuna","Braga Neto"
"1592276293-7182","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ruan","https://www.bjjheroes.com/?p=6375","Paulo Carvalho","W","Bow and arrow","Brasileiro","88KG","R1","2016","Ruan de Oliveira","Bow and arrow"
"1592276281-7107","https://www.bjjheroes.com/a-z-bjj-fighters-list","Brian","https://www.bjjheroes.com/?p=6366","Danilo Barbosa","W","N/A","World Pro","65KG","R1","2015","Brian Mahecha","null"
"1592276084-6244","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jhonny","https://www.bjjheroes.com/?p=6596","AJ Agazarm","W","Pts: 4x4, Adv","World Pro","77KG","3RD","2016","Jhonny Loureiro","AJ Agazarm"
"1592276281-7152","https://www.bjjheroes.com/a-z-bjj-fighters-list","Brian","https://www.bjjheroes.com/?p=6366","Rodrigo Francioni","W","Armbar","Miami Fall Open","76KG","SF","2018","Brian Mahecha","Armbar"
"1592275973-6120","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jose Carlos","https://www.bjjheroes.com/?p=6801","Koji Shibamoto","L","Bow and arrow","European Open","57KG","4F","2018","José Carlos Lima","Koji Shibamoto"
"1592276097-6360","https://www.bjjheroes.com/a-z-bjj-fighters-list","Dany","https://www.bjjheroes.com/?p=6592","Guilherme Augusto","W","Armbar","Las Vegas Open","ABS","4F","2019","Dany Gerard","Guilherme Augusto"
"1592275624-5436","https://www.bjjheroes.com/a-z-bjj-fighters-list","Paul","https://www.bjjheroes.com/?p=7502","Chris Merino","W","Pts: 5x0","ADCC WC Trials","99KG","R1","2017","Paul Ardila-Ibarra","null"
"1592276126-6542","https://www.bjjheroes.com/a-z-bjj-fighters-list","Gordon","https://www.bjjheroes.com/?p=6550","Lucas Barbosa","W","Referee Decision","F2W Pro 30","92KG","SPF","2017","Gordon Ryan","Lucas Barbosa"
"1592276225-6817","https://www.bjjheroes.com/a-z-bjj-fighters-list","Alec","https://www.bjjheroes.com/?p=6351","Roberto Abreu","L","Pts: 6x0","Grand Slam LA","ABS","8F","2015","Alec Baulding","Roberto Abreu"
"1592276265-7025","https://www.bjjheroes.com/a-z-bjj-fighters-list","Kevin","https://www.bjjheroes.com/?p=6368","Jose Portillo","W","Pts: 6x2","Houston Nat. Pro","77KG","SF","2015","Kevin Mahecha","null"
"1592275802-5832","https://www.bjjheroes.com/a-z-bjj-fighters-list","Muslim","https://www.bjjheroes.com/?p=7111","R. Evangelista","L","Wristlock","World Pro","110KG","3RD","2019","Muslim Patsarigov","R. Evangelista"
"1592276265-7050","https://www.bjjheroes.com/a-z-bjj-fighters-list","Kevin","https://www.bjjheroes.com/?p=6368","Frederico Silva","W","Pts: 4x2","Pan American","76KG","R1","2017","Kevin Mahecha","null"
"1592276203-6758","https://www.bjjheroes.com/a-z-bjj-fighters-list","Yan","https://www.bjjheroes.com/?p=6432","Celso Ricardo","W","Points","BH Winter Open","82KG","4F","2018","Yan “Pica-Pau” Lucas","null"
"1592275774-5726","https://www.bjjheroes.com/a-z-bjj-fighters-list","Tiago","https://www.bjjheroes.com/?p=7156","Joao Miyao","L","Referee Decision","World Pro.","64KG","F","2014","Tiago Bravo","Joao Miyao"
"1592275774-5767","https://www.bjjheroes.com/a-z-bjj-fighters-list","Tiago","https://www.bjjheroes.com/?p=7156","Roberto Satoshi","L","Pts: 2x0","Grand Slam TYO","77KG","F","2017","Tiago Bravo","Roberto Satoshi"
"1592275774-5756","https://www.bjjheroes.com/a-z-bjj-fighters-list","Tiago","https://www.bjjheroes.com/?p=7156","Erick Sa","W","Submission","Grand Slam AD","69KG","SF","2017","Tiago Bravo","null"
"1592276245-6925","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jonathan","https://www.bjjheroes.com/?p=6354","Aaron Johnson","W","Points","UAEJJF NY Pro","U110KG","4F","2017","Jonathan Satava","Aaron Johnson"
"1592275612-5427","https://www.bjjheroes.com/a-z-bjj-fighters-list","Eliot","https://www.bjjheroes.com/?p=7519","","","","","","","","Eliot Kelly",""
"1592275649-5533","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ilke","https://www.bjjheroes.com/?p=7376","Luca Caracciolo","W","Pts: 16x0","Torino Challenge","76KG","SF","2020","Ilke Bulut","null"
"1592275605-5394","https://www.bjjheroes.com/a-z-bjj-fighters-list","Vinicius","https://www.bjjheroes.com/?p=7636","Matheus Godoy","L","Kneebar","Brasilia Open","94KG","F","2017","Vinicius Garcia","Matheus Godoy"
"1592276245-6964","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jonathan","https://www.bjjheroes.com/?p=6354","Oliver Lovell","W","Pts: 2x0","World Pro","77KG","4F","2018","Jonathan Satava","null"
"1592276311-7264","https://www.bjjheroes.com/a-z-bjj-fighters-list","Evandro","https://www.bjjheroes.com/?p=6324","James Puopolo","W","Points","American Nat.","O100KG","SF","2015","Evandro Nunes","James Puopolo"
"1592276265-7010","https://www.bjjheroes.com/a-z-bjj-fighters-list","Kevin","https://www.bjjheroes.com/?p=6368","Lucas Lepri","L","Choke","World Pro","75KG","R2","2015","Kevin Mahecha","Lucas Lepri"
"1592275700-5605","https://www.bjjheroes.com/a-z-bjj-fighters-list","Enrico","https://www.bjjheroes.com/?p=7247","Jose Diaz","W","Guillotine","High Rollerz","ABS","SF","2019","Enrico Cocco","null"
"1592276245-6898","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jonathan","https://www.bjjheroes.com/?p=6354","Marcelo Mafra","L","Pts: 4x0","NoGi Pan Ams","82KG","SF","2015","Jonathan Satava","Marcelo Mafra"
"1592275728-5718","https://www.bjjheroes.com/a-z-bjj-fighters-list","Tiago","https://www.bjjheroes.com/?p=7171","","","","","","","","Tiago Pereira",""
"1592276107-6427","https://www.bjjheroes.com/a-z-bjj-fighters-list","Francisco","https://www.bjjheroes.com/?p=6563","Enrique Galarza","W","Choke from back","Pan American","76KG","R2","2017","Francisco Iturralde","Choke from back"
"1592275973-6104","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jose Carlos","https://www.bjjheroes.com/?p=6801","Fernando Marques","W","Pts: 16x0","Copa Sicoob","ABS","SF","2016","José Carlos Lima","null"
"1592275973-6139","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jose Carlos","https://www.bjjheroes.com/?p=6801","Cleber Sousa","L","Pts: 2x2, Adv","WP BR Qualifier","56KG","RR","2019","José Carlos Lima","Cleber Sousa"
"1592276265-7095","https://www.bjjheroes.com/a-z-bjj-fighters-list","Kevin","https://www.bjjheroes.com/?p=6368","Solan Thomas","W","Armbar","Sub Stars","77KG","4F","2019","Kevin Mahecha","Armbar"
"1592276126-6482","https://www.bjjheroes.com/a-z-bjj-fighters-list","Gordon","https://www.bjjheroes.com/?p=6550","W","W","0","0","1
1","ADCC","RR","Gordon Ryan","Alexandre Ribeiro"
"1592276203-6751","https://www.bjjheroes.com/a-z-bjj-fighters-list","Yan","https://www.bjjheroes.com/?p=6432","Espen Mathiesen","L","Pts: 0x0, Adv","Pan American","76KG","8F","2018","Yan “Pica-Pau” Lucas","Espen Mathiesen"
"1592276281-7110","https://www.bjjheroes.com/a-z-bjj-fighters-list","Brian","https://www.bjjheroes.com/?p=6366","Samir Chantre","L","Pts: 4x2","American Nat.","70KG","SF","2015","Brian Mahecha","Samir Chantre"
"1592276265-7015","https://www.bjjheroes.com/a-z-bjj-fighters-list","Kevin","https://www.bjjheroes.com/?p=6368","Mario Reis","L","Armbar","World Champ.","70KG","8F","2015","Kevin Mahecha","Mario Reis"
"1592276062-6222","https://www.bjjheroes.com/a-z-bjj-fighters-list","Miguel Angel","https://www.bjjheroes.com/?p=6674","Luis Schaerer","W","Armbar","Argentina Nat. Pro","94KG","4F","2016","Miguel Ángel Alderete","Armbar"
"1592275947-5978","https://www.bjjheroes.com/a-z-bjj-fighters-list","Fernando Andrade","https://www.bjjheroes.com/?p=6825","Tiago Silva","W","Ezekiel","Rio Open","94KG","SF","2019","Fernando Reis","Ezekiel"
"1592275605-5381","https://www.bjjheroes.com/a-z-bjj-fighters-list","Vinicius","https://www.bjjheroes.com/?p=7636","Claudio Mattos","W","Pts: 2x0","BH Open","82KG","4F","2016","Vinicius Garcia","Claudio Mattos"
"1592275700-5589","https://www.bjjheroes.com/a-z-bjj-fighters-list","Enrico","https://www.bjjheroes.com/?p=7247","John Combs","W","Inside heel hook","F2W Pro 68","77KG","SPF","2018","Enrico Cocco","John Combs"
"1592276097-6318","https://www.bjjheroes.com/a-z-bjj-fighters-list","Dany","https://www.bjjheroes.com/?p=6592","Gustavo Dias","L","Referee Decision","World Champ.","O100KG","R1","2016","Dany Gerard","Gustavo Dias"
"1592276084-6278","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jhonny","https://www.bjjheroes.com/?p=6596","Igor Verissimo","W","Choke from back","Brasileiro","76KG","SF","2018","Jhonny Loureiro","Igor Verissimo"
"1592275984-6206","https://www.bjjheroes.com/a-z-bjj-fighters-list","Cassio","https://www.bjjheroes.com/?p=6792","Erberth Santos","L","Pts: 0x0, Adv","Copa Podio","105KG","RR","2016","Cassio Francis","Erberth Santos"
"1592275874-5861","https://www.bjjheroes.com/a-z-bjj-fighters-list","Shane","https://www.bjjheroes.com/?p=7002","Francisco Iturralde","W","Referee Decision","FIVE Super League","70KG","4F","2017","Jamil Hill-Taylor","Francisco Iturralde"
"1592276281-7130","https://www.bjjheroes.com/a-z-bjj-fighters-list","Brian","https://www.bjjheroes.com/?p=6366","Isaque Paiva","L","Pts: 4x2","European Open","70KG","8F","2017","Brian Mahecha","Isaque Paiva"
"1592276293-7193","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ruan","https://www.bjjheroes.com/?p=6375","Tarsis Humphreys","L","Pts: 2x0","World Champ.","88KG","8F","2016","Ruan de Oliveira","Tarsis Humphreys"
"1592276281-7144","https://www.bjjheroes.com/a-z-bjj-fighters-list","Brian","https://www.bjjheroes.com/?p=6366","Matheus Gonzaga","L","Choke from back","Boston Sp. Open","70KG","SF","2018","Brian Mahecha","Matheus Gonzaga"
"1592275624-5448","https://www.bjjheroes.com/a-z-bjj-fighters-list","Paul","https://www.bjjheroes.com/?p=7502","Vinicius Trator","L","Pts: 0x0, Pen","ADCC","99KG","R1","2019","Paul Ardila-Ibarra","Vinicius Trator"
"1592276293-7219","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ruan","https://www.bjjheroes.com/?p=6375","Unknown","W","Armbar","Rio Open","ABS","4F","2018","Ruan de Oliveira","Armbar"
"1592276070-6231","https://www.bjjheroes.com/a-z-bjj-fighters-list","Luciana","https://www.bjjheroes.com/?p=6618","","","","","","","","Luciana “Luka” Dias",""
"1592276139-6632","https://www.bjjheroes.com/a-z-bjj-fighters-list","Marcel","https://www.bjjheroes.com/?p=6503","Osvaldo Moizinho","L","Pts: 0x0, Adv","American Cup","ABS","F","2014","Marcel Fortuna","Osvaldo Moizinho"
"1592276107-6370","https://www.bjjheroes.com/a-z-bjj-fighters-list","Francisco","https://www.bjjheroes.com/?p=6563","Vitor Oliveira","L","Pts: 0x0, Adv","IBJJF Pro League","82KG","SF","2013","Francisco Iturralde","Vitor Oliveira"
"1592275649-5479","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ilke","https://www.bjjheroes.com/?p=7376","Italo Lins","W","Pts: 6x4","London Open","76KG","4F","2014","Ilke Bulut","Italo Lins"
"1592276265-7069","https://www.bjjheroes.com/a-z-bjj-fighters-list","Kevin","https://www.bjjheroes.com/?p=6368","Alexandre Molinaro","L","Pts: 2x0","San Antonio Open","76KG","F","2017","Kevin Mahecha","Alexandre Molinaro"
"1592276252-6990","https://www.bjjheroes.com/a-z-bjj-fighters-list","Pedro","https://www.bjjheroes.com/?p=6359","Samir Chantre","L","Points","Houston Open","ABS","SF","2017","Pedro Araújo","Samir Chantre"
"1592275947-5973","https://www.bjjheroes.com/a-z-bjj-fighters-list","Fernando Andrade","https://www.bjjheroes.com/?p=6825","Fellipe Andrew","L","Pts: 2x0","Curitiba Pro","94KG","F","2019","Fernando Reis","Fellipe Andrew"
"1592276107-6416","https://www.bjjheroes.com/a-z-bjj-fighters-list","Francisco","https://www.bjjheroes.com/?p=6563","Antonio Mugnaimi","W","Choke from back","World Champ.","76KG","R1","2016","Francisco Iturralde","Choke from back"
"1592275711-5657","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jan","https://www.bjjheroes.com/?p=7256","Joao Soares","L","N/A","BH Sp Open","ABS","4F","2018","Jan Buatim","null"
"1592275700-5564","https://www.bjjheroes.com/a-z-bjj-fighters-list","Enrico","https://www.bjjheroes.com/?p=7247","Unknown","W","Heel hook","ADCC US Trials","77KG","4F","2013","Enrico Cocco","Heel hook"
"1592276245-6893","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jonathan","https://www.bjjheroes.com/?p=6354","Gilbert Burns","L","Pts: 4x0","NY No Gi Open","ABS","SF","2015","Jonathan Satava","Gilbert Burns"
"1592276097-6334","https://www.bjjheroes.com/a-z-bjj-fighters-list","Dany","https://www.bjjheroes.com/?p=6592","Rodolpho Bonfim","W","Pts: 4x2","World Champ.","100KG","8F","2017","Dany Gerard","null"
"1592276265-7036","https://www.bjjheroes.com/a-z-bjj-fighters-list","Kevin","https://www.bjjheroes.com/?p=6368","Dany Gerard","L","Pts: 2x0","World Pro","ABS","8F","2016","Kevin Mahecha","Dany Gerard"
"1592276265-7084","https://www.bjjheroes.com/a-z-bjj-fighters-list","Kevin","https://www.bjjheroes.com/?p=6368","Rafael Domingos","W","N/A","Las Vegas Open","76KG","R1","2018","Kevin Mahecha","null"
