web-scraper-order,web-scraper-start-url,athlete,athlete-href,opponent1,winLoss,method,competition,weight,stage,year,name,opponent2
"1592276139-6626","https://www.bjjheroes.com/a-z-bjj-fighters-list","Marcel","https://www.bjjheroes.com/?p=6503","Eliot Kelly","W","Pts: 2x0","US Open XVIII","ABS","4F","2013","Marcel Fortuna","Eliot Kelly"
"1592275984-6201","https://www.bjjheroes.com/a-z-bjj-fighters-list","Cassio","https://www.bjjheroes.com/?p=6792","Andre Galvao","L","Pts: 4x4, Adv","World Champ.","94KG","SF","2016","Cassio Francis","Andre Galvao"
"1592276225-6863","https://www.bjjheroes.com/a-z-bjj-fighters-list","Alec","https://www.bjjheroes.com/?p=6351","Patrick Almeida","W","Choke from back","Copenhagen Open","ABS","SF","2018","Alec Baulding","Choke from back"
"1592276281-7108","https://www.bjjheroes.com/a-z-bjj-fighters-list","Brian","https://www.bjjheroes.com/?p=6366","Isaque Paiva","L","Points","World Pro","65KG","4F","2015","Brian Mahecha","Isaque Paiva"
"1592276203-6766","https://www.bjjheroes.com/a-z-bjj-fighters-list","Yan","https://www.bjjheroes.com/?p=6432","Jorge Nakamura","W","Pts: 0x0, Adv","Brasilia Int. Pro","ABS","F","2018","Yan “Pica-Pau” Lucas","null"
"1592276265-7014","https://www.bjjheroes.com/a-z-bjj-fighters-list","Kevin","https://www.bjjheroes.com/?p=6368","Renan Borges","W","Points","Boston Spring Open","76KG","F","2015","Kevin Mahecha","null"
"1592276126-6526","https://www.bjjheroes.com/a-z-bjj-fighters-list","Gordon","https://www.bjjheroes.com/?p=6550","Matt Arroyo","W","Inside heel hook","EBI 8","84KG","R1","2016","Gordon Ryan","Inside heel hook"
"1592275965-6076","https://www.bjjheroes.com/a-z-bjj-fighters-list","Max","https://www.bjjheroes.com/?p=6805","Dany Gerard","W","Choke from back","Pan American","O100KG","4F","2019","Max Gimenis","Dany Gerard"
"1592276107-6402","https://www.bjjheroes.com/a-z-bjj-fighters-list","Francisco","https://www.bjjheroes.com/?p=6563","Thiago Macedo","W","Points","Dallas Open","76KG","SF","2015","Francisco Iturralde","Thiago Macedo"
"1592275774-5776","https://www.bjjheroes.com/a-z-bjj-fighters-list","Tiago","https://www.bjjheroes.com/?p=7156","Magno Machado","L","Pts: 0x0, Adv","NAS Sports","77KG","3RD","2018","Tiago Bravo","null"
"1592276107-6412","https://www.bjjheroes.com/a-z-bjj-fighters-list","Francisco","https://www.bjjheroes.com/?p=6563","Luis Lima","W","Choke from back","Pan American","76KG","8F","2016","Francisco Iturralde","Luis Lima"
"1592275649-5497","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ilke","https://www.bjjheroes.com/?p=7376","Douglas Barcelos","W","Triangle","Madrid Open","76KG","F","2015","Ilke Bulut","Triangle"
"1592275874-5888","https://www.bjjheroes.com/a-z-bjj-fighters-list","Shane","https://www.bjjheroes.com/?p=7002","Thiago Macedo","W","Pts: 0x0, Adv","NY BJJ Pro","70KG","F","2018","Jamil Hill-Taylor","Thiago Macedo"
"1592275965-6080","https://www.bjjheroes.com/a-z-bjj-fighters-list","Max","https://www.bjjheroes.com/?p=6805","Renan Vieira","W","Wristlock","World Champ.","O100KG","4F","2019","Max Gimenis","null"
"1592275965-6090","https://www.bjjheroes.com/a-z-bjj-fighters-list","Max","https://www.bjjheroes.com/?p=6805","Ricardo Ribeiro","W","Cross choke","Boston SMO","ABS","SF","2019","Max Gimenis","Cross choke"
"1592276203-6755","https://www.bjjheroes.com/a-z-bjj-fighters-list","Yan","https://www.bjjheroes.com/?p=6432","Rodrigo Conceicao","W","Pts: 0x0, Adv","Brasileiro","76KG","4F","2018","Yan “Pica-Pau” Lucas","Rodrigo Conceicao"
"1592276192-6710","https://www.bjjheroes.com/a-z-bjj-fighters-list","Pedro","https://www.bjjheroes.com/?p=6447","","","","","","","","Pedro Gama Filho",""
